Num_Features,Model,Train_Time_s,Dataset,Evaluation_Type,Accuracy,F1_Score
70,MLP (PyTorch),32.72,CICIDS-2018 (Within),Multiclass,0.9449,0.9452
70,MLP (PyTorch),32.72,CICIDS-2018 (Within),Binary,0.9746,0.9861
70,MLP (PyTorch),32.72,CICIDS-2017 (Cross),Multiclass,0.7318,0.7236
70,MLP (PyTorch),32.72,CICIDS-2017 (Cross),Binary,0.8506,0.8332
70,MLP (PyTorch),32.72,LycoS-2018 (Cross),Multiclass,0.2227,0.2994
70,MLP (PyTorch),32.72,LycoS-2018 (Cross),Binary,0.6533,0.7287
82,Logistic Regression,28.21,CICIDS-2018 (Within),Multiclass,0.9285,0.9272
82,Logistic Regression,28.21,CICIDS-2018 (Within),Binary,0.9628,0.9799
82,Logistic Regression,28.21,CICIDS-2017 (Cross),Multiclass,0.5717,0.551
82,Logistic Regression,28.21,CICIDS-2017 (Cross),Binary,0.5733,0.6511
82,Logistic Regression,28.21,LycoS-2018 (Cross),Multiclass,0.2883,0.2558
82,Logistic Regression,28.21,LycoS-2018 (Cross),Binary,0.3133,0.103
82,Random Forest,12.81,CICIDS-2018 (Within),Multiclass,0.9516,0.9519
82,Random Forest,12.81,CICIDS-2018 (Within),Binary,0.9807,0.9895
82,Random Forest,12.81,CICIDS-2017 (Cross),Multiclass,0.4326,0.4006
82,Random Forest,12.81,CICIDS-2017 (Cross),Binary,0.5949,0.6572
82,Random Forest,12.81,LycoS-2018 (Cross),Multiclass,0.7394,0.794
82,Random Forest,12.81,LycoS-2018 (Cross),Binary,0.7501,0.7934
82,Extra Trees,5.3,CICIDS-2018 (Within),Multiclass,0.892,0.8898
82,Extra Trees,5.3,CICIDS-2018 (Within),Binary,0.9725,0.985
82,Extra Trees,5.3,CICIDS-2017 (Cross),Multiclass,0.6739,0.6646
82,Extra Trees,5.3,CICIDS-2017 (Cross),Binary,0.7981,0.7887
82,Extra Trees,5.3,LycoS-2018 (Cross),Multiclass,0.5054,0.5582
82,Extra Trees,5.3,LycoS-2018 (Cross),Binary,0.5195,0.5651
82,XGBoost,13.55,CICIDS-2018 (Within),Multiclass,0.9518,0.9521
82,XGBoost,13.55,CICIDS-2018 (Within),Binary,0.9805,0.9894
82,XGBoost,13.55,CICIDS-2017 (Cross),Multiclass,0.3219,0.2557
82,XGBoost,13.55,CICIDS-2017 (Cross),Binary,0.5032,0.6213
82,XGBoost,13.55,LycoS-2018 (Cross),Multiclass,0.3459,0.4229
82,XGBoost,13.55,LycoS-2018 (Cross),Binary,0.499,0.5873
82,LightGBM,11.87,CICIDS-2018 (Within),Multiclass,0.9536,0.9539
82,LightGBM,11.87,CICIDS-2018 (Within),Binary,0.9821,0.9903
82,LightGBM,11.87,CICIDS-2017 (Cross),Multiclass,0.2832,0.1903
82,LightGBM,11.87,CICIDS-2017 (Cross),Binary,0.4512,0.5895
82,LightGBM,11.87,LycoS-2018 (Cross),Multiclass,0.6203,0.6681
82,LightGBM,11.87,LycoS-2018 (Cross),Binary,0.6299,0.7217
82,MLP (PyTorch),32.8,CICIDS-2018 (Within),Multiclass,0.9452,0.9456
82,MLP (PyTorch),32.8,CICIDS-2018 (Within),Binary,0.9743,0.986
82,MLP (PyTorch),32.8,CICIDS-2017 (Cross),Multiclass,0.6892,0.661
82,MLP (PyTorch),32.8,CICIDS-2017 (Cross),Binary,0.7902,0.7614
82,MLP (PyTorch),32.8,LycoS-2018 (Cross),Multiclass,0.3549,0.328
82,MLP (PyTorch),32.8,LycoS-2018 (Cross),Binary,0.3697,0.1962
